admission,sentence,lengthOfStay
0,1.884069616,1.884069616
0.155756144,1.737300043,1.737300043
0.222960557,0.203416577,0.203416577
0.266272248,10,10
0.385318687,1.457998924,1.457998924
0.4749421,1.490218445,1.490218445
0.499696771,0.303698124,0.303698124
0.623207933,10,10
0.757901102,0.656499813,0.656499813
0.764359058,0.007744569,0.007744569
0.826373657,10,10
0.82770739,1.944421962,1.944421962
0.845273688,1.690400293,1.690400293
0.99821397,0.666549717,0.666549717
1.126157375,1.229120488,1.229120488
1.223932164,10,10
1.385764519,0.430302647,0.430302647
1.554003041,1.899306761,1.899306761
1.662038405,0.776336852,0.776336852
1.806356563,0.243112577,0.243112577
1.850004049,10,10
1.893682573,0.228493044,0.228493044
1.894007025,0.327151039,0.327151039
2.061784359,1.427246945,1.427246945
2.123047483,1.039401658,1.039401658
2.314793392,0.443255077,0.443255077
2.451802355,10,10
2.494211049,1.492088947,1.492088947
2.549943593,0.223672006,0.223672006
2.738064387,1.570541515,1.570541515
2.760930089,0.834949383,0.834949383
2.783094319,10,10
2.966635013,0.209198892,0.209198892
3.002870188,1.733300337,1.733300337
3.010766588,0.658145942,0.658145942
3.080760476,10,10
3.186491752,1.667362248,1.667362248
3.210262314,1.428530009,1.428530009
3.276165083,0.647373525,0.647373525
3.417491614,1.095263003,1.095263003
3.43766099,10,10
3.611975251,1.027746359,1.027746359
3.622405077,1.551978986,1.551978986
3.777658018,0.828768759,0.828768759
3.955390712,10,10
4.121656026,1.319358074,1.319358074
4.253296012,0.013372546,0.013372546
4.3,0.786133445,0.786133445
4.455756144,1.884069616,1.884069616
4.522960557,10,10
4.566272248,0.203416577,0.203416577
4.685318687,0.216692538,0.216692538
4.7749421,10,10
4.799696771,1.490218445,1.490218445
4.923207933,0.303698124,0.303698124
5.057901102,1.613663323,1.613663323
5.064359058,10,10
5.126373657,0.007744569,0.007744569
5.12770739,0.619808792,0.619808792
5.145273688,1.944421962,1.944421962
5.29821397,10,10
5.426157375,0.666549717,0.666549717
5.523932164,1.229120488,1.229120488
5.685764519,0.184533136,0.184533136
5.854003041,10,10
5.962038405,1.899306761,1.899306761
6.106356563,0.776336852,0.776336852
6.150004049,0.243112577,0.243112577
6.193682573,10,10
6.194007025,0.228493044,0.228493044
6.361784359,0.327151039,0.327151039
6.423047483,1.427246945,1.427246945
6.614793392,1.039401658,1.039401658
6.751802355,0.443255077,0.443255077
6.794211049,1.2583083,1.2583083
6.849943593,10,10
7.038064387,0.223672006,0.223672006
7.060930089,1.570541515,1.570541515
7.083094319,0.834949383,0.834949383
7.266635013,0.636777618,0.636777618
7.302870188,0.209198892,0.209198892
7.310766588,1.733300337,1.733300337
7.380760476,0.658145942,0.658145942
7.486491752,10,10
7.510262314,1.667362248,1.667362248
7.576165083,1.428530009,1.428530009
7.717491614,0.647373525,0.647373525
7.73766099,1.095263003,1.095263003
7.911975251,10,10
7.922405077,1.027746359,1.027746359
8.077658018,1.551978986,1.551978986
8.255390712,0.828768759,0.828768759
8.421656026,10,10
8.553296012,1.319358074,1.319358074
8.6,0.013372546,0.013372546
8.755756144,0.786133445,0.786133445
