admission,sentence,lengthOfStay
0,1.884069616,1.884069616
0.28036106,1.737300043,1.737300043
0.401329003,0.203416577,0.203416577
0.479290047,10,10
0.693573636,1.457998924,1.457998924
0.85489578,1.490218445,1.490218445
0.899454188,0.303698124,0.303698124
1.121774279,10,10
1.364221983,0.656499813,0.656499813
1.375846305,0.007744569,0.007744569
1.487472582,10,10
1.489873302,1.944421962,1.944421962
1.521492639,1.690400293,1.690400293
1.796785146,0.666549717,0.666549717
2.027083275,1.229120488,1.229120488
2.203077895,10,10
2.494376134,0.430302647,0.430302647
2.797205474,1.899306761,1.899306761
2.991669129,0.776336852,0.776336852
3.251441814,0.243112577,0.243112577
3.330007289,10,10
3.408628631,0.228493044,0.228493044
3.409212645,0.327151039,0.327151039
3.711211847,1.427246945,1.427246945
3.821485469,1.039401658,1.039401658
4.166628106,0.443255077,0.443255077
4.413244238,10,10
4.489579888,1.492088947,1.492088947
4.589898467,0.223672006,0.223672006
4.928515896,1.570541515,1.570541515
4.969674161,0.834949383,0.834949383
5.009569774,10,10
5.339943023,0.209198892,0.209198892
5.405166338,1.733300337,1.733300337
5.419379859,0.658145942,0.658145942
5.545368857,10,10
5.735685154,1.667362248,1.667362248
5.778472164,1.428530009,1.428530009
5.897097149,0.647373525,0.647373525
6.151484905,1.095263003,1.095263003
6.187789783,10,10
6.501555452,1.027746359,1.027746359
6.520329139,1.551978986,1.551978986
6.799784432,0.828768759,0.828768759
7.119703281,10,10
7.418980848,1.319358074,1.319358074
7.655932822,0.013372546,0.013372546
7.74,0.786133445,0.786133445
8.02036106,1.884069616,1.884069616
8.141329003,10,10
8.219290047,0.203416577,0.203416577
8.433573636,0.216692538,0.216692538
8.59489578,10,10
8.639454188,1.490218445,1.490218445
8.861774279,0.303698124,0.303698124
9.104221983,1.613663323,1.613663323
9.115846305,10,10
9.227472582,0.007744569,0.007744569
9.229873302,0.619808792,0.619808792
9.261492639,1.944421962,1.944421962
9.536785146,10,10
9.767083275,0.666549717,0.666549717
9.943077895,1.229120488,1.229120488
10.23437613,0.184533136,0.184533136
10.53720547,10,10
10.73166913,1.899306761,1.899306761
10.99144181,0.776336852,0.776336852
11.07000729,0.243112577,0.243112577
11.14862863,10,10
11.14921264,0.228493044,0.228493044
11.45121185,0.327151039,0.327151039
11.56148547,1.427246945,1.427246945
11.90662811,1.039401658,1.039401658
12.15324424,0.443255077,0.443255077
12.22957989,1.2583083,1.2583083
12.32989847,10,10
12.6685159,0.223672006,0.223672006
12.70967416,1.570541515,1.570541515
12.74956977,0.834949383,0.834949383
13.07994302,0.636777618,0.636777618
13.14516634,0.209198892,0.209198892
13.15937986,1.733300337,1.733300337
13.28536886,0.658145942,0.658145942
13.47568515,10,10
13.51847216,1.667362248,1.667362248
13.63709715,1.428530009,1.428530009
13.8914849,0.647373525,0.647373525
13.92778978,1.095263003,1.095263003
14.24155545,10,10
14.26032914,1.027746359,1.027746359
14.53978443,1.551978986,1.551978986
14.85970328,0.828768759,0.828768759
15.15898085,10,10
15.39593282,1.319358074,1.319358074
15.48,0.013372546,0.013372546
15.76036106,0.786133445,0.786133445
-1.510174855,1.737300043,1.737300043
-0.105067862,10,10
-0.143878324,0.216692538,0.216692538
-1.23843719,1.457998924,1.457998924
-1.274923078,1.490218445,1.490218445
-0.244980831,0.303698124,0.303698124
-0.06157337,10,10
-0.442536619,0.656499813,0.656499813
-0.003319679,0.007744569,0.007744569
-0.199935169,0.619808792,0.619808792
-1.50497616,1.944421962,1.944421962
-0.166056916,1.690400293,1.690400293
-0.660467236,10,10
-0.4514345,1.229120488,1.229120488
